"GEO_ID","NAME","B14006_001E","B14006_001M","B14006_002E","B14006_002M","B14006_003E","B14006_003M","B14006_004E","B14006_004M","B14006_005E","B14006_005M","B14006_006E","B14006_006M","B14006_007E","B14006_007M","B14006_008E","B14006_008M","B14006_009E","B14006_009M","B14006_010E","B14006_010M","B14006_011E","B14006_011M","B14006_012E","B14006_012M","B14006_013E","B14006_013M","B14006_014E","B14006_014M","B14006_015E","B14006_015M","B14006_016E","B14006_016M","B14006_017E","B14006_017M","B14006_018E","B14006_018M","B14006_019E","B14006_019M","B14006_020E","B14006_020M","B14006_021E","B14006_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below the poverty level","Margin of Error!!Total!!Income in the past 12 months below the poverty level","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Estimate!!Total!!Income in the past 12 months below the poverty level!!Not enrolled in school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Not enrolled in school","Estimate!!Total!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Not enrolled in school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Not enrolled in school",
"0100000US","United States","303623441","47058","41753385","227418","15008702","127901","815709","16826","850807","14276","3334601","44129","2929994","40177","2856754","36474","3521409","38917","699428","16253","26744683","124487","261870056","231561","62842155","157064","4018090","36317","3181541","26386","12755189","52113","13248087","54529","14038200","46759","12189971","61054","3411077","32764","199027901","137560",
