"GEO_ID","NAME","B14006_001E","B14006_001M","B14006_002E","B14006_002M","B14006_003E","B14006_003M","B14006_004E","B14006_004M","B14006_005E","B14006_005M","B14006_006E","B14006_006M","B14006_007E","B14006_007M","B14006_008E","B14006_008M","B14006_009E","B14006_009M","B14006_010E","B14006_010M","B14006_011E","B14006_011M","B14006_012E","B14006_012M","B14006_013E","B14006_013M","B14006_014E","B14006_014M","B14006_015E","B14006_015M","B14006_016E","B14006_016M","B14006_017E","B14006_017M","B14006_018E","B14006_018M","B14006_019E","B14006_019M","B14006_020E","B14006_020M","B14006_021E","B14006_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below the poverty level","Margin of Error!!Total!!Income in the past 12 months below the poverty level","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Estimate!!Total!!Income in the past 12 months below the poverty level!!Not enrolled in school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Not enrolled in school","Estimate!!Total!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Not enrolled in school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Not enrolled in school",
"0100000US","United States","299170765","19797","44197521","258895","16319691","109790","927653","9448","955581","10922","3536599","37751","3186587","28810","3068006","24357","3943335","19194","701930","7741","27877830","154203","254973244","267618","62117765","184016","3959393","28802","3155375","17118","12529809","35371","13010009","32077","13689286","32181","12407754","47146","3366139","26629","192855479","97998",
