"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"    Asian alone","15,537,909","±28,592","(X)","(X)","7,258,718","±18,163","(X)","(X)","8,279,191","±19,840","(X)","(X)"
"        High school graduate or higher","13,825,688","±36,073","89.0%","±0.2","6,541,719","±21,756","90.1%","±0.2","7,283,969","±25,470","88.0%","±0.2"
"        Bachelor's degree or higher","9,175,707","±47,558","59.1%","±0.3","4,387,911","±28,896","60.5%","±0.4","4,787,796","±30,653","57.8%","±0.3"
"    Native Hawaiian and Other Pacific Islander alone","420,192","±10,625","(X)","(X)","205,115","±7,053","(X)","(X)","215,077","±6,461","(X)","(X)"
"        High school graduate or higher","366,955","±10,101","87.3%","±1.1","179,942","±6,765","87.7%","±1.4","187,013","±6,444","87.0%","±1.5"
"        Bachelor's degree or higher","81,351","±5,764","19.4%","±1.3","33,979","±3,327","16.6%","±1.7","47,372","±4,296","22.0%","±1.9"
"    Some other race alone","15,738,983","±86,661","(X)","(X)","8,044,335","±47,815","(X)","(X)","7,694,648","±50,685","(X)","(X)"
"        High school graduate or higher","10,826,367","±71,491","68.8%","±0.3","5,383,558","±42,563","66.9%","±0.4","5,442,809","±46,510","70.7%","±0.4"
"        Bachelor's degree or higher","2,704,593","±36,409","17.2%","±0.2","1,199,682","±19,928","14.9%","±0.2","1,504,911","±25,799","19.6%","±0.3"
"    Two or more races","25,740,857","±117,638","(X)","(X)","12,707,859","±69,394","(X)","(X)","13,032,998","±63,519","(X)","(X)"
"        High school graduate or higher","21,055,610","±118,407","81.8%","±0.2","10,236,570","±69,739","80.6%","±0.3","10,819,040","±63,315","83.0%","±0.2"
"        Bachelor's degree or higher","7,523,039","±82,593","29.2%","±0.3","3,422,189","±49,806","26.9%","±0.3","4,100,850","±47,017","31.5%","±0.3"
"    Hispanic or Latino Origin","40,532,279","±28,628","(X)","(X)","20,318,684","±17,956","(X)","(X)","20,213,595","±16,047","(X)","(X)"
"        High school graduate or higher","30,030,215","±101,752","74.1%","±0.2","14,708,584","±60,585","72.4%","±0.3","15,321,631","±52,234","75.8%","±0.2"
"        Bachelor's degree or higher","8,709,635","±81,486","21.5%","±0.2","3,888,021","±45,870","19.1%","±0.2","4,821,614","±49,960","23.9%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","24.0%","±0.2","(X)","(X)","20.7%","±0.2","(X)","(X)","27.7%","±0.3"
"    High school graduate (includes equivalency)","(X)","(X)","14.3%","±0.1","(X)","(X)","11.8%","±0.1","(X)","(X)","17.0%","±0.1"
"    Some college or associate's degree","(X)","(X)","9.7%","±0.1","(X)","(X)","7.6%","±0.1","(X)","(X)","11.6%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.6%","±0.1","(X)","(X)","4.1%","±0.1","(X)","(X)","4.9%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","52,582","±157","(X)","(X)","61,262","±69","(X)","(X)","46,391","±104","(X)","(X)"
"        Less than high school graduate","32,468","±133","(X)","(X)","37,779","±340","(X)","(X)","25,898","±198","(X)","(X)"
"        High school graduate (includes equivalency)","40,684","±78","(X)","(X)","47,079","±158","(X)","(X)","32,318","±93","(X)","(X)"
"        Some college or associate's degree","47,953","±199","(X)","(X)","57,313","±218","(X)","(X)","40,492","±83","(X)","(X)"
"        Bachelor's degree","70,470","±123","(X)","(X)","82,617","±591","(X)","(X)","60,287","±118","(X)","(X)"
"        Graduate or professional degree","90,191","±171","(X)","(X)","107,498","±877","(X)","(X)","77,319","±231","(X)","(X)"
